TEAM YEAR NUMBER NAME SALARY
baystars 2012 25 筒香嘉智 1200万円
baystars 2012 37 桑原将志 540万円
baystars 2012 40 飛雄馬 600万円
baystars 2012 43 北篤 750万円
baystars 2012 44 渡邊雄貴 540万円
baystars 2012 51 大原淳也 600万円
baystars 2012 55 後藤武敏 1700万円
baystars 2012 62 高森勇旗 580万円
baystars 2012 63 梶谷隆幸 640万円
baystars 2012 99 中村紀洋 1500万円
baystars 2012 1 金城龍彦 5000万円
baystars 2012 4 荒波翔 1300万円
baystars 2012 5 森本稀哲 8000万円
baystars 2012 6 啓二朗 1300万円
baystars 2012 8 小池正晃 2900万円
baystars 2012 26 井手正太郎 1000万円
baystars 2012 31 吉村裕基 5000万円
baystars 2012 33 乙坂智 480万円
baystars 2012 39 内藤雄太 1750万円
baystars 2012 50 下園辰哉 3700万円
baystars 2013 11 山口俊 10000万円
baystars 2013 18 三浦大輔 18000万円
baystars 2013 52 多村仁志 11000万円
baystars 2013 0 藤井秀悟 3700万円
baystars 2013 12 小林寛 800万円
baystars 2013 13 吉川輝昭 2200万円
baystars 2013 14 小林太志 2400万円
baystars 2013 15 井納翔一 1000万円
baystars 2013 16 加賀繁 4000万円
baystars 2013 17 三嶋一輝 1200万円
baystars 2013 19 藤江均 3400万円
baystars 2013 20 須田幸太 1300万円
baystars 2013 21 加賀美希昇 1400万円
baystars 2013 22 高崎健太郎 5500万円
baystars 2013 24 林昌範 2600万円
baystars 2013 28 北方悠誠 620万円
baystars 2013 30 菊地和正 2600万円
baystars 2013 34 篠原貴行 2800万円
baystars 2013 35 牛田成樹 2500万円
baystars 2013 38 神内靖 1600万円
baystars 2013 41 大原慎司 2200万円
baystars 2013 43 安部建輝 900万円
baystars 2013 45 土屋健二 550万円
baystars 2013 46 田中健二朗 830万円
baystars 2013 47 眞下貴之 560万円
baystars 2013 48 安斉雄虎 480万円
baystars 2013 49 福田岳洋 680万円
baystars 2013 54 小杉陽太 1000万円
baystars 2013 58 阿斗里 650万円
baystars 2013 60 佐藤祥万 730万円
baystars 2013 65 国吉佑樹 1800万円
baystars 2013 66 王溢正 1000万円
baystars 2013 67 伊藤拓郎 500万円
baystars 2013 100 今井金太 360万円
baystars 2013 113 古村徹 340万円
baystars 2013 10 鶴岡一成 4000万円
baystars 2013 32 高城俊人 800万円
baystars 2013 36 細山田武史 600万円
baystars 2013 57 靍岡賢二郎 490万円
baystars 2013 59 黒羽根利規 1200万円
baystars 2013 0 山崎憲晴 1000万円
baystars 2013 2 渡辺直人 5000万円
baystars 2013 7 石川雄洋 5000万円
baystars 2013 9 一輝 1500万円
baystars 2013 23 内村賢介 4000万円
baystars 2013 25 筒香嘉智 1950万円
baystars 2013 29 白崎浩之 1500万円
baystars 2013 37 桑原将志 600万円
baystars 2013 40 飛雄馬 550万円
baystars 2013 44 渡邊雄貴 510万円
baystars 2013 51 宮崎敏郎 850万円
baystars 2013 55 後藤武敏 1700万円
baystars 2013 63 梶谷隆幸 1000万円
baystars 2013 99 中村紀洋 3000万円
baystars 2013 1 金城龍彦 3000万円
baystars 2013 4 荒波翔 3000万円
baystars 2013 5 森本稀哲 8000万円
baystars 2013 6 啓二朗 1100万円
baystars 2013 8 小池正晃 3000万円
baystars 2013 26 井手正太郎 1000万円
baystars 2013 31 赤堀大智 950万円
baystars 2013 33 乙坂智 480万円
baystars 2013 39 内藤雄太 1400万円
baystars 2013 50 下園辰哉 3200万円
baystars 2014 18 三浦大輔 18000万円
baystars 2014 70 中畑清 監督
baystars 2014 0 藤井秀悟 4100万円
baystars 2014 11 山口俊 8000万円
baystars 2014 12 小林寛 1350万円
baystars 2014 13 柿田裕太 1500万円
baystars 2014 14 小林太志 1200万円
baystars 2014 15 井納翔一 1650万円
baystars 2014 16 加賀繁 3500万円
baystars 2014 17 三嶋一輝 2700万円
baystars 2014 19 藤江均 3100万円
baystars 2014 20 須田幸太 1700万円
baystars 2014 21 加賀美希昇 1250万円
baystars 2014 22 高崎健太郎 4500万円
baystars 2014 24 林昌範 2600万円
baystars 2014 28 北方悠誠 600万円
baystars 2014 30 菊地和正 2200万円
baystars 2014 34 平田真吾 1200万円
baystars 2014 38 神内靖 1200万円
baystars 2014 39 三上朋也 950万円
baystars 2014 41 大原慎司 3100万円
baystars 2014 43 安部建輝 850万円
baystars 2014 45 土屋健二 650万円
baystars 2014 46 田中健二朗 830万円
baystars 2014 47 高橋尚成 6000万円
baystars 2014 48 山下峻 720万円
baystars 2014 53 ホルヘ ソーサ
baystars 2014 54 小杉陽太 1000万円
baystars 2014 56 長田秀一郎 3600万円
baystars 2014 58 大田阿斗里 1250万円
baystars 2014 61 エンジェルベルト ソト
baystars 2014 64 眞下貴之 570万円
baystars 2014 65 国吉佑樹 1500万円
baystars 2014 67 伊藤拓郎 520万円
baystars 2014 68 冨田康祐 490万円
baystars 2014 100 今井金太 360万円
baystars 2014 111 砂田毅樹 360万円
baystars 2014 112 万谷康平 360万円
baystars 2014 113 古村徹 340万円
baystars 2014 32 高城俊人 900万円
baystars 2014 39 嶺井博希 1000万円
baystars 2014 57 靍岡賢二郎 540万円
baystars 2014 59 黒羽根利規 1200万円
baystars 2014 112 西森将司 500万円
baystars 2014 0 山崎憲晴 2150万円
baystars 2014 7 石川雄洋 6500万円
baystars 2014 23 内村賢介 3500万円
baystars 2014 25 筒香嘉智 1600万円
baystars 2014 29 白崎浩之 1500万円
baystars 2014 36 柳田殖生 800万円
baystars 2014 37 桑原将志 610万円
baystars 2014 40 飛雄馬 560万円
baystars 2014 44 渡邊雄貴 520万円
baystars 2014 51 宮崎敏郎 950万円
baystars 2014 55 後藤武敏 1800万円
baystars 2014 60 加藤政義 880万円
baystars 2014 63 梶谷隆幸 2300万円
baystars 2014 99 中村紀洋 5000万円
baystars 2014 1 金城龍彦 4000万円
baystars 2014 4 荒波翔 4500万円
baystars 2014 6 松本啓二朗 1400万円
baystars 2014 8 多村仁志 5000万円
baystars 2014 26 井手正太郎 1100万円
baystars 2014 31 赤堀大智 900万円
baystars 2014 33 乙坂智 490万円
baystars 2014 50 下園辰哉 2500万円
baystars 2014 52 関根大気 550万円
carp 1980 1 大久保美智男 240万円
carp 1980 11 池谷公二郎 1300万円
carp 1980 12 田辺繁文 280万円
carp 1980 13 高木宏彰 330万円
carp 1980 14 片岡光宏 240万円
carp 1980 15 安仁屋宗八 800万円
carp 1980 16 三輪悟 700万円
carp 1980 17 山根和夫 580万円
carp 1980 18 福士敬章 1200万円
carp 1980 19 新美敏 600万円
carp 1980 20 北別府学 1380万円
carp 1980 21 土居正史 300万円
carp 1980 24 大野豊 570万円
carp 1980 26 江夏豊 3400万円
carp 1980 29 小林誠二 280万円
carp 1980 34 高橋里志 950万円
carp 1980 35 石井和行 240万円
carp 1980 36 渡辺秀武 1080万円
carp 1980 38 堂園喜義 280万円
carp 1980 44 金田留広 960万円
carp 1980 47 金石昭人 260万円
carp 1980 49 下地勝治 200万円
carp 1980 53 井上卓也 240万円
carp 1980 55 小林一史 220万円
carp 1980 57 森厚三 220万円
