id,team,hit,opponent,year,score_team,score_opponent
ATL201308300,ATL,5,MIA,2012,2,1
ATL201308310,MIA,7,ATL,2012,4,4
ATL201308310,ATL,11,MIA,2012,4,4
ATL201309010,MIA,13,ATL,2012,7,0
ATL201309010,ATL,8,MIA,2012,0,7
ATL201309020,NYN,10,ATL,2012,5,13
ATL201309020,ATL,17,NYN,2012,13,5
ATL201309030,NYN,8,ATL,2012,1,3
ATL201309030,ATL,7,NYN,2012,3,1
ATL201309040,NYN,12,ATL,2012,5,2
ATL201309040,ATL,7,NYN,2012,2,5
ATL201309130,SDN,10,ATL,2012,4,3
ATL201309130,ATL,5,SDN,2012,3,4
ATL201309140,SDN,5,ATL,2012,1,2
ATL201309140,ATL,9,SDN,2012,2,0
ATL201309150,SDN,9,ATL,2012,4,0
ATL201309150,ATL,4,SDN,2012,0,4
ATL201309230,MIL,11,ATL,2012,5,0
ATL201309230,ATL,3,MIL,2012,0,5
ATL201309240,MIL,7,ATL,2012,2,2
ATL201309240,ATL,10,MIL,2012,2,2
ATL201309250,MIL,12,ATL,2012,4,0
ATL201309250,ATL,2,MIL,2012,0,4
ATL201309260,PHI,9,ATL,2012,1,7
ATL201309260,ATL,12,PHI,2012,7,1
ATL201309270,PHI,2,ATL,2012,0,1
ATL201309270,ATL,3,PHI,2012,1,0
ATL201309280,PHI,13,ATL,2012,5,1
ATL201309280,ATL,12,PHI,2012,4,5
ATL201309290,PHI,10,ATL,2012,5,12
ATL201309290,ATL,17,PHI,2012,12,5
BAL201304050,MIN,10,BAL,2012,5,9
BAL201304050,BAL,14,MIN,2012,9,5
BAL201304060,MIN,9,BAL,2012,6,5
BAL201304060,BAL,11,MIN,2012,5,6
BAL201304070,MIN,4,BAL,2012,4,3
BAL201304070,BAL,7,MIN,2012,3,4
BAL201304160,TBA,6,BAL,2012,4,5
BAL201304160,BAL,6,TBA,2012,5,4
BAL201304170,TBA,11,BAL,2012,6,2
BAL201304170,BAL,5,TBA,2012,2,6
BAL201304180,TBA,11,BAL,2012,6,6
BAL201304180,BAL,14,TBA,2012,6,6
BAL201304201,LAN,8,BAL,2012,5,7
BAL201304201,BAL,10,LAN,2012,7,5
BAL201304202,LAN,6,BAL,2012,1,6
BAL201304202,BAL,8,LAN,2012,6,1
BAL201304210,LAN,8,BAL,2012,7,4
BAL201304210,BAL,10,LAN,2012,4,7
BAL201304220,TOR,4,BAL,2012,1,1
BAL201304220,BAL,5,TOR,2012,1,1
BAL201304230,TOR,6,BAL,2012,3,4
BAL201304230,BAL,6,TOR,2012,4,3
BAL201304240,TOR,8,BAL,2012,6,5
BAL201304240,BAL,8,TOR,2012,5,6
BAL201305070,KCA,10,BAL,2012,3,4
BAL201305070,BAL,8,KCA,2012,4,3
BAL201305080,KCA,7,BAL,2012,3,5
BAL201305080,BAL,5,KCA,2012,5,3
BAL201305090,KCA,9,BAL,2012,6,2
BAL201305090,BAL,8,KCA,2012,2,6
BAL201305140,SDN,8,BAL,2012,2,2
BAL201305140,BAL,5,SDN,2012,2,3
BAL201305150,SDN,17,BAL,2012,7,3
BAL201305150,BAL,11,SDN,2012,4,8
BAL201305170,TBA,17,BAL,2012,12,10
BAL201305170,BAL,13,TBA,2012,10,12
BAL201305180,TBA,11,BAL,2012,10,6
BAL201305180,BAL,13,TBA,2012,6,10
BAL201305190,TBA,7,BAL,2012,3,1
BAL201305190,BAL,5,TBA,2012,1,3
BAL201305200,NYA,9,BAL,2012,6,4
BAL201305200,BAL,13,NYA,2012,4,6
BAL201305210,NYA,5,BAL,2012,2,2
BAL201305210,BAL,8,NYA,2012,2,2
BAL201305220,NYA,7,BAL,2012,3,6
